"country","continent","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",43.828,31889923,974.5803384
"Algeria","Africa",72.301,33333216,6223.367465
"Argentina","Americas",75.32,40301927,12779.37964
"Austria","Europe",79.829,8199783,36126.4927
"Benin","Africa",56.728,8078314,1441.284873
"Canada","Americas",80.653,33390141,36319.23501
"Chad","Africa",50.651,10238807,1704.063724
"China","Asia",72.961,1318683096,4959.114854
"Comoros","Africa",65.152,710960,986.1478792
"Congo, Rep.","Africa",55.322,3800610,3632.557798
"Cuba","Americas",78.273,11416987,8948.102923
"Czech Republic","Europe",76.486,10228744,22833.30851
"Djibouti","Africa",54.791,496374,2082.481567
"Ecuador","Americas",74.994,13755680,6873.262326
"El Salvador","Americas",71.878,6939688,5728.353514
"Eritrea","Africa",58.04,4906585,641.3695236
"Finland","Europe",79.313,5238460,33207.0844
"Gabon","Africa",56.735,1454867,13206.48452
"Germany","Europe",79.406,82400996,32170.37442
"Guinea","Africa",56.007,9947814,942.6542111
"Haiti","Americas",60.916,8502814,1201.637154
"Hong Kong, China","Asia",82.208,6980412,39724.97867
"Iceland","Europe",81.757,301931,36180.78919
"India","Asia",64.698,1110396331,2452.210407
"Iran","Asia",70.964,69453570,11605.71449
"Ireland","Europe",78.885,4109086,40675.99635
"Italy","Europe",80.546,58147733,28569.7197
"Japan","Asia",82.603,127467972,31656.06806
"Kenya","Africa",54.11,35610177,1463.249282
"Korea, Rep.","Asia",78.623,49044790,23348.13973
"Lebanon","Asia",71.993,3921278,10461.05868
"Liberia","Africa",45.678,3193942,414.5073415
"Madagascar","Africa",59.443,19167654,1044.770126
"Malaysia","Asia",74.241,24821286,12451.6558
"Mauritius","Africa",72.801,1250882,10956.99112
"Mongolia","Asia",66.803,2874127,3095.772271
"Morocco","Africa",71.164,33757175,3820.17523
"Myanmar","Asia",62.069,47761980,944
"Nepal","Asia",63.785,28901790,1091.359778
"New Zealand","Oceania",80.204,4115771,25185.00911
"Niger","Africa",56.867,12894865,619.6768924
"Norway","Europe",80.196,4627926,49357.19017
"Paraguay","Americas",71.752,6667147,4172.838464
"Philippines","Asia",71.688,91077287,3190.481016
"Portugal","Europe",78.098,10642836,20509.64777
"Reunion","Africa",76.442,798094,7670.122558
"Saudi Arabia","Asia",72.777,27601038,21654.83194
"Serbia","Europe",74.002,10150265,9786.534714
"Singapore","Asia",79.972,4553009,47143.17964
"South Africa","Africa",49.339,43997828,9269.657808
"Sri Lanka","Asia",72.396,20378239,3970.095407
"Swaziland","Africa",39.613,1133066,4513.480643
"Switzerland","Europe",81.701,7554661,37506.41907
"Taiwan","Asia",78.4,23174294,28718.27684
"Thailand","Asia",70.616,65068149,7458.396327
"Trinidad and Tobago","Americas",69.819,1056608,18008.50924
"Turkey","Europe",71.777,71158647,8458.276384
"United Kingdom","Europe",79.425,60776238,33203.26128
"United States","Americas",78.242,301139947,42951.65309
"Venezuela","Americas",73.747,26084662,11415.80569
"West Bank and Gaza","Asia",73.422,4018332,3025.349798
"Zambia","Africa",42.384,11746035,1271.211593
