name,code,pop
Algeria,DZA,32854159
Azerbaijan,AZE,8352021
Argentina,ARG,38747148
Australia,AUS,20310208
Bahrain,BHR,724788
Bangladesh,BGD,15328112
Bolivia,BOL,9182015
Burma,MMR,47967266
Benin,BEN,8490301
Brazil,BRA,186830759
Bulgaria,BGR,7744591
Canada,CAN,32270507
Cambodia,KHM,13955507
Sri Lanka,LKA,19120763
Burundi,BDI,7858791
China,CHN,1312978855
Afghanistan,AFG,25067407
Chile,CHL,16295102
Cameroon,CMR,17795149
Colombia,COL,4494579
Costa Rica,CRI,4327228
Cuba,CUB,11259905
Cyprus,CYP,836321
Denmark,DNK,5416945
Ecuador,ECU,13060993
Egypt,EGY,72849793
Ireland,IRL,4143294
Estonia,EST,1344312
Eritrea,ERI,4526722
El Salvador,SLV,6668356
Ethiopia,ETH,78985857
Austria,AUT,8291979
Czech Republic,CZE,10191762
Finland,FIN,5246004
Fiji,FJI,828046
France,FRA,60990544
Georgia,GEO,4473409
Ghana,GHA,2253501
Germany,DEU,82652369
Greece,GRC,11099737
Hungary,HUN,10086387
India,IND,1134403141
Iran,IRN,69420607
Israel,ISR,6692037
Italy,ITA,5864636
Iraq,IRQ,27995984
Japan,JPN,127896740
Jamaica,JAM,2682469
Jordan,JOR,5544066
Kenya,KEN,35598952
Kyrgyzstan,KGZ,5203547
North Korea,PRK,23615611
South Korea,KOR,47869837
Kazakhstan,KAZ,15210609
Latvia,LVA,2301793
Belarus,BLR,9795287
Lithuania,LTU,3425077
Slovakia,SVK,5386995
Madagascar,MDG,18642586
Mongolia,MNG,2580704
Mali,MLI,1161109
Morocco,MAR,30494991
Mauritius,MUS,1241173
Oman,OMN,2507042
Mexico,MEX,104266392
Malaysia,MYS,25652985
Mozambique,MOZ,20532675
Malawi,MWI,13226091
Belgium,BEL,10398049
Hong Kong,HKG,7057418
Palestine,PSE,3762005
Nigeria,NGA,141356083
Netherlands,NLD,1632769
Norway,NOR,4638836
Nepal,NPL,27093656
Nicaragua,NIC,5462539
New Zealand,NZL,4097112
Paraguay,PRY,5904342
Peru,PER,27274266
Pakistan,PAK,158080591
Poland,POL,38195558
Panama,PAN,3231502
Portugal,PRT,10528226
Papua New Guinea,PNG,6069715
Guinea-Bissau,GNB,1596929
Qatar,QAT,796186
Reunion,REU,785159
Romania,ROU,21627557
Republic of Moldova,MDA,3876661
Philippines,PHL,84566163
Puerto Rico,PRI,3946779
Russia,RUS,143953092
Rwanda,RWA,9233793
Saudi Arabia,SAU,2361236
South Africa,ZAF,47938663
Lesotho,LSO,1980831
Botswana,BWA,1835938
Senegal,SEN,1177034
Slovenia,SVN,1999425
Sierra Leone,SLE,5586403
Singapore,SGP,4327468
Somalia,SOM,8196395
Spain,ESP,43397491
Sudan,SDN,36899747
Sweden,SWE,9038049
Switzerland,CHE,7424389
Thailand,THA,63002911
Tajikistan,TJK,6550213
Togo,TGO,6238572
Tunisia,TUN,10104685
Turkey,TUR,72969723
Turkmenistan,TKM,4833266
Uganda,UGA,28947181
United Kingdom,GBR,60244834
Ukraine,UKR,46917544
United States,USA,299846449
Burkina Faso,BFA,13933363
Uruguay,URY,3325727
Uzbekistan,UZB,26593123
Venezuela,VEN,26725573
Viet Nam,VNM,85028643
Namibia,NAM,2019677
Swaziland,SWZ,1124529
Yemen,YEM,21095679
Zambia,ZMB,11478317
Zimbabwe,ZWE,13119679
Indonesia,IDN,226063044
United Arab Emirates,ARE,4104291
Timor-Leste,TLS,1067285
Serbia,SRB,9863026
Taiwan,TWN,23588932
